Title,Price,URL,Date,Odometer,Model,Drive,Transmission,Paint Color
2019 Honda odyssey,$21.200,https://boston.craigslist.org/gbs/cto/d/watertown-2019-honda-odyssey/7589869207.html,17 mins ago, 83149,vide, fwd, automatic, black
2016 Toyota Camry Hybrid,$17.950,https://boston.craigslist.org/gbs/ctd/d/somerville-2016-toyota-camry-hybrid/7589866853.html,25 mins ago, 94000,vide, fwd, automatic, black
2008 Subaru Legacy,$5.300,https://boston.craigslist.org/gbs/cto/d/mattapan-2008-subaru-legacy/7589866566.html,26 mins ago, 66136,vide,vide, automatic,vide
2019 Honda Civic,$20.998,https://boston.craigslist.org/sob/cto/d/braintree-2019-honda-civic/7589865455.html,29 mins ago, 28910,vide, fwd, automatic, silver
Honda Accord Hybrid,$5.400,https://boston.craigslist.org/gbs/cto/d/malden-honda-accord-hybrid/7589865351.html,29 mins ago, 193000,vide, fwd, automatic,vide
2016 Mercedes Benz GLC 300,$27.000,https://boston.craigslist.org/gbs/cto/d/newton-2016-mercedes-benz-glc-300/7589859271.html,46 mins ago, 57684,vide, 4wd, automatic, blue
2019 Jeep Grand Cherokee,$27.500,https://boston.craigslist.org/sob/cto/d/quincy-2019-jeep-grand-cherokee/7589853055.html,1h ago, 76000,vide, 4wd, automatic,vide
2021 Cadillac XT4 Luxury 24 (Month Lease),$248,https://boston.craigslist.org/gbs/ctd/d/boston-2021-cadillac-xt4-luxury-24/7589841352.html,2h ago, 15651,vide, fwd, automatic, black
2021 Toyota 4Runner TRD Off Road 24 (Month Lease),$280,https://boston.craigslist.org/gbs/ctd/d/boston-2021-toyota-4runner-trd-off-road/7589841344.html,2h ago, 45210,vide, 4wd, automatic, silver
2021 Kia Stinger GT 24 (Month Lease),$256,https://boston.craigslist.org/gbs/ctd/d/boston-2021-kia-stinger-gt-24-month/7589841319.html,2h ago, 27218,vide, rwd, automatic, white
2021 Jeep Cherokee Trailhawk 24 (Month Lease),$219,https://boston.craigslist.org/gbs/ctd/d/boston-2021-jeep-cherokee-trailhawk-24/7589841306.html,2h ago, 35075,vide, 4wd, automatic, black
2021 Honda CR-V Special Edition 24 (Month Lease),$216,https://boston.craigslist.org/gbs/ctd/d/boston-2021-honda-cr-special-edition-24/7589841288.html,2h ago, 8777,vide, 4wd, automatic, white
1998 Jeep Wrangler TJ Sahara,$15.800,https://boston.craigslist.org/gbs/cto/d/cambridge-1998-jeep-wrangler-tj-sahara/7589840314.html,2h ago, 141700,vide, 4wd, manual, white
2011 Toyota Sienna XLE minivan 7 pass,$7.900,https://boston.craigslist.org/gbs/cto/d/revere-2011-toyota-sienna-xle-minivan/7589839457.html,2h ago, 249000,vide, fwd, automatic, white
2005 Toyota camry LE Sedan 4D,$3.599,https://boston.craigslist.org/gbs/ctd/d/roslindale-2005-toyota-camry-le-sedan-4d/7589835763.html,2h ago, 203900,vide, fwd, automatic, silver
Range Rover Evoque HSE Dynamic AWD 4dr SUV,$31.995,https://boston.craigslist.org/nos/ctd/d/malden-range-rover-evoque-hse-dynamic/7589835409.html,2h ago, 74057,vide, 4wd, automatic, silver
2009 Volvo XC70 Cross Country 3.2l,$4.499,https://boston.craigslist.org/gbs/ctd/d/roslindale-2009-volvo-xc70-cross/7589834329.html,2h ago, 182285,vide, 4wd, automatic, black
2004 GMC Envoy SLE 4WD,$4.499,https://boston.craigslist.org/gbs/ctd/d/roslindale-2004-gmc-envoy-sle-4wd/7589829858.html,2h ago, 137900,vide, 4wd, automatic, red
2000 Toyota ECHO 2-Door,$2.999,https://boston.craigslist.org/gbs/ctd/d/roslindale-2000-toyota-echo-door/7589829292.html,2h ago, 123000,vide, fwd, automatic, red
2000 Toyota Camry LE V6,$3.799,https://boston.craigslist.org/gbs/ctd/d/roslindale-2000-toyota-camry-le-v6/7589828861.html,2h ago, 92000,vide, fwd, automatic, silver
2006 Pontiac Vibe Sport Base,$3.799,https://boston.craigslist.org/gbs/ctd/d/roslindale-2006-pontiac-vibe-sport-base/7589827219.html,2h ago, 149300,vide, fwd, automatic, grey
2007 Honda Pilot LX 4WD,$5.199,https://boston.craigslist.org/gbs/ctd/d/roslindale-2007-honda-pilot-lx-4wd/7589822949.html,2h ago, 160870,vide, 4wd, automatic, silver
2010 Ford Fusion V6 SEL,$4.999,https://boston.craigslist.org/gbs/ctd/d/roslindale-2010-ford-fusion-v6-sel/7589821501.html,2h ago, 153400,vide, fwd, automatic, blue
1985 Mercury Capri 5.0L,$9.900,https://boston.craigslist.org/gbs/cto/d/hyde-park-1985-mercury-capri-50l/7589786481.html,4h ago, 81000,vide, rwd, manual, red
2004 BMW 330Ci 6 Speed,$8.000,https://boston.craigslist.org/sob/cto/d/milton-2004-bmw-330ci-speed/7589783859.html,4h ago, 175000,vide, rwd, manual, grey
BMW X5 2006 3.0L AWD,$3.800,https://boston.craigslist.org/gbs/cto/d/dorchester-center-bmw-l-awd/7589770230.html,4h ago, 160000,vide, 4wd, automatic, white
2017 WRX Limited,$31.800,https://boston.craigslist.org/gbs/cto/d/belmont-2017-wrx-limited/7589746292.html,5h ago, 35000,vide,vide, manual,vide
2016 BMW m235i XDrive,$22.500,https://boston.craigslist.org/gbs/cto/d/milton-2016-bmw-m235i-xdrive/7589730776.html,6h ago, 69000,vide, 4wd, automatic, silver
Acura MDX 2008  new engine and many extras!,$6.100,https://boston.craigslist.org/gbs/cto/d/needham-heights-acura-mdx-2008-new/7589728601.html,6h ago, 162703,vide, 4wd, automatic, red
Toyota Tundra,$9.000,https://boston.craigslist.org/gbs/cto/d/winthrop-toyota-tundra/7589721421.html,6h ago, 170000,vide,vide, manual, grey
1951 BTR-40 "sorokovka" military command vehicle,$77.750,https://boston.craigslist.org/gbs/ctd/d/cambridge-1951-btr-40-sorokovka/7589709603.html,6h ago, 15,vide, 4wd, manual,vide
2014 Subaru Forester Limited,$13.950,https://boston.craigslist.org/gbs/ctd/d/somerville-2014-subaru-forester-limited/7589677041.html,8h ago, 121000,vide, 4wd, automatic, green
2010 Jeep Wrangler Unlimited Sport - Natural Green - Automatic - MINT,$18.950,https://boston.craigslist.org/gbs/ctd/d/somerville-2010-jeep-wrangler-unlimited/7589671867.html,8h ago, 94000,vide, 4wd, automatic, green
2006 Dodge Dakota Plow Truck $9 495 and 2008 Jeep Patriot $2.399,$1,https://boston.craigslist.org/gbs/cto/d/allston-2006-dodge-dakota-plow-truck/7589671035.html,8h ago, 192000,vide, 4wd, automatic, brown
2018 Tesla Model 3,$42.000,https://boston.craigslist.org/gbs/cto/d/newton-2018-tesla-model/7589667727.html,8h ago, 23781,vide, 4wd, automatic, black
2009 GMC Acadia SLT,$2.995,https://boston.craigslist.org/gbs/cto/d/malden-2009-gmc-acadia-slt/7589665874.html,8h ago, 205000,vide, 4wd, automatic, blue
2006 Mercury Mountaineer Premier AWD V8,$3.650,https://boston.craigslist.org/gbs/cto/d/malden-2006-mercury-mountaineer-premier/7589659043.html,8h ago, 167250,vide, 4wd, automatic, black
2007 MKV GTI 6spd,$6.250,https://boston.craigslist.org/gbs/cto/d/cambridge-2007-mkv-gti-6spd/7589640461.html,15/02, 115843,vide, fwd, manual, grey
2006 Lexus lx470 275hp,$19.900,https://boston.craigslist.org/gbs/cto/d/medford-2006-lexus-lx-hp/7589635815.html,15/02, 185000,vide, 4wd, automatic, black
2020 CADILLAC ESCALADE ESV,$35.999,https://boston.craigslist.org/gbs/cto/d/chelsea-2020-cadillac-escalade-esv/7589627523.html,15/02, 114000,vide, 4wd, automatic, black
2012 Chevrolet avalanche LTZ,$12.900,https://boston.craigslist.org/nos/ctd/d/malden-2012-chevrolet-avalanche-ltz/7589627227.html,15/02, 156123,vide, 4wd, automatic, white
Mercedes Benz S550 AWD 66k,$11.900,https://boston.craigslist.org/gbs/cto/d/chelsea-mercedes-benz-s550-awd-66k/7589626435.html,15/02, 66320,vide, 4wd, automatic, grey
2007 Peterbilt 378 Sleeper Truck Tractor,$49.800,https://boston.craigslist.org/gbs/ctd/d/boston-2007-peterbilt-378-sleeper-truck/7589613980.html,15/02, 1140000,vide,vide, manual,vide
2006 Volkswagen Golf GTI,$5.500,https://boston.craigslist.org/nos/cto/d/malden-2006-volkswagen-golf-gti/7589601188.html,15/02, 116000,vide,vide, manual,vide
1988FordF-150XLT Lariat,$24.000,https://boston.craigslist.org/gbs/cto/d/boston-1988fordf-150xlt-lariat/7589574105.html,15/02, 17000,vide, rwd, automatic, red
2013 Chevy Cruze,$2.400,https://boston.craigslist.org/gbs/cto/d/boston-2013-chevy-cruze/7589571907.html,15/02, 185000,vide, fwd, manual, blue
2004 BMW 325xi 5speed,$8.500,https://boston.craigslist.org/gbs/cto/d/dorchester-center-2004-bmw-325xi-5speed/7589571613.html,15/02, 90456,vide,vide, manual,vide
2015 Isuzu Npr Switch n go Truck,$99,https://boston.craigslist.org/gbs/cto/d/boston-2015-isuzu-npr-switch-go-truck/7589562348.html,15/02, 145000,vide,vide, automatic,vide
2013 MERCEDES-BENZ ML 350 AWD 4MATIC SUV,$19.000,https://boston.craigslist.org/gbs/cto/d/malden-2013-mercedes-benz-ml-350-awd/7589502957.html,14/02, 88000,vide,vide, automatic, white
07 HONDA accord e-xl v6! FWD  all leather clean !,$2.775,https://boston.craigslist.org/gbs/cto/d/medford-07-honda-accord-xl-v6-fwd-all/7589484224.html,14/02, 11250,vide, fwd, automatic, black
1966 Dodge Coronet,$11.500,https://boston.craigslist.org/gbs/cto/d/revere-1966-dodge-coronet/7589462123.html,14/02, 66000,vide, rwd, automatic, blue
2007 suzuki sx4 AWD,$2.800,https://boston.craigslist.org/gbs/cto/d/everett-2007-suzuki-sx4-awd/7589439153.html,14/02, 147650,vide, 4wd, automatic, blue
2013 Honda CR-V for sale,$13.500,https://boston.craigslist.org/gbs/cto/d/everett-2013-honda-cr-for-sale/7589406747.html,14/02, 115000,vide, 4wd, automatic, white
2016 Ford Taurus - SHO AWD 4dr Sedan,$16.995,https://boston.craigslist.org/nos/ctd/d/malden-2016-ford-taurus-sho-awd-4dr/7589365682.html,14/02, 119189,vide, 4wd, automatic, black
2017 Subaru Crosstrek - 2.0i Premium AWD 4dr Crossover CVT,$16.995,https://boston.craigslist.org/nos/ctd/d/malden-2017-subaru-crosstrek-20i/7589365408.html,14/02, 114122,vide, 4wd, automatic, black
2007 Honda Civic LX,$4.200,https://boston.craigslist.org/gbs/cto/d/watertown-2007-honda-civic-lx/7589364718.html,14/02, 178811,vide,vide, automatic,vide
2019 Kia Soul,$15.495,https://boston.craigslist.org/nos/ctd/d/winchester-2019-kia-soul/7589364614.html,14/02, 77872,vide, fwd, automatic, black
2015 Jeep Cherokee - Latitude 4x4 4dr SUV,$16.495,https://boston.craigslist.org/nos/ctd/d/malden-2015-jeep-cherokee-latitude-4x4/7589364274.html,14/02, 116506,vide, fwd, automatic, grey
2017 Ford Fusion - SE AWD 4dr Sedan,$15.995,https://boston.craigslist.org/nos/ctd/d/malden-2017-ford-fusion-se-awd-4dr-sedan/7589361475.html,14/02, 104171,vide, 4wd, automatic, grey
2015 Honda Pilot EX L 4x4 4dr SUV,$17.995,https://boston.craigslist.org/nos/ctd/d/malden-2015-honda-pilot-ex-4x4-4dr-suv/7589356335.html,14/02, 110145,vide, 4wd, automatic, silver
2014 Chevrolet Cruze - 1LT Auto 4dr Sedan w/1SD,$11.995,https://boston.craigslist.org/nos/ctd/d/malden-2014-chevrolet-cruze-1lt-auto/7589355802.html,14/02, 66179,vide, fwd, automatic, blue
2015 Toyota Camry,$16.500,https://boston.craigslist.org/gbs/ctd/d/watertown-2015-toyota-camry/7589344139.html,14/02, 61300,vide, fwd, automatic, blue
2015 Toyota Camry,$16.500,https://boston.craigslist.org/bmw/ctd/d/watertown-2015-toyota-camry/7589344102.html,14/02, 61300,vide, fwd, automatic, blue
Audi A4,$5.000,https://boston.craigslist.org/gbs/cto/d/arlington-audi-a4/7589331449.html,14/02, 214000,vide,vide, manual,vide
2006 Ford Crown Victoria P71,$1.995,https://boston.craigslist.org/gbs/cto/d/waltham-2006-ford-crown-victoria-p71/7589325423.html,14/02, 144000,vide, rwd, automatic, black
2006 BMW X3• 3.0i SUV 4WD,$6.000,https://boston.craigslist.org/gbs/cto/d/dorchester-2006-bmw-x3-30i-suv-4wd/7589325189.html,14/02, 123000,vide, 4wd, automatic, black
2015 Ford Expedition New Engine!,$16.500,https://boston.craigslist.org/gbs/cto/d/dorchester-center-2015-ford-expedition/7589318094.html,14/02, 199,vide, 4wd, automatic, black
FOR SALE - 2005 Nissan Frontier,$5.000,https://boston.craigslist.org/sob/cto/d/north-weymouth-for-sale-nissan-frontier/7589304425.html,14/02, 184000,vide,vide, automatic,vide
2004 Honda Pilot EX 170 000 Miles!!,$4.200,https://boston.craigslist.org/gbs/cto/d/brighton-2004-honda-pilot-ex-miles/7589284029.html,14/02, 170000,vide, 4wd, automatic,vide
International 36 Passenger plus Wheelchair Bus,$17.995,https://boston.craigslist.org/sob/ctd/d/braintree-international-36-passenger/7589281607.html,14/02, 28461,vide, rwd, automatic, white
2016 Volvo VNL670 Sleeper Auto,$42.800,https://boston.craigslist.org/gbs/ctd/d/boston-2016-volvo-vnl670-sleeper-auto/7589275499.html,14/02, 939944,vide,vide, automatic,vide
2010 HONDA CRV 4X4,$8.995,https://boston.craigslist.org/gbs/cto/d/hyde-park-2010-honda-crv-4x4/7589250430.html,14/02, 114000,vide, 4wd, automatic, grey
Jeep Grand Cherokee 2017 75th Anniversary,$19.500,https://boston.craigslist.org/gbs/cto/d/roslindale-jeep-grand-cherokee-th/7589247182.html,14/02, 91000,vide, 4wd, automatic, white
2015 subaru forester,$11.995,https://boston.craigslist.org/gbs/cto/d/dorchester-2015-subaru-forester/7589219412.html,14/02, 86357,vide, 4wd, automatic, blue
xdrive BMW 528i AWD (Luxury and Premium package),$1.235,https://boston.craigslist.org/nwb/cto/d/south-boston-xdrive-bmw-528i-awd-luxury/7589199228.html,14/02, 80080,vide, 4wd, automatic, black
04 Ford F350 Crewcab Shortbed,$15.500,https://boston.craigslist.org/gbs/cto/d/arlington-04-ford-f350-crewcab-shortbed/7589187048.html,14/02, 215000,vide, 4wd, automatic, silver
2013 Ford escape SEL,$10.900,https://boston.craigslist.org/nos/ctd/d/malden-2013-ford-escape-sel/7589183114.html,14/02, 104321,vide, 4wd, automatic, black
2007 Mini Cooper - Mechanic Special,$2.500,https://boston.craigslist.org/gbs/cto/d/new-town-2007-mini-cooper-mechanic/7589181085.html,14/02, 176000,vide, fwd, manual, black
2019 Tesla Model 3 Performance AWD FSD included,$45.000,https://boston.craigslist.org/gbs/cto/d/west-roxbury-2019-tesla-model/7589161276.html,13/02, 28000,vide, 4wd, automatic, black
2010 Mercedes Benz GL550,$7.800,https://boston.craigslist.org/nos/cto/d/malden-2010-mercedes-benz-gl550/7589157472.html,13/02, 188000,vide, 4wd, automatic,vide
2005 Buick LeSabre Custom,$2.900,https://boston.craigslist.org/gbs/cto/d/medford-2005-buick-lesabre-custom/7589126097.html,13/02, 195000,vide, fwd, automatic, green
2011 Subaru Outback Limited w/Nav Carfax,$7.995,https://boston.craigslist.org/bmw/cto/d/waltham-2011-subaru-outback-limited-nav/7589120715.html,13/02, 158300,vide, 4wd, automatic, white
Wheelchair Shuttle Van Low Miles!,$15.995,https://boston.craigslist.org/sob/ctd/d/braintree-wheelchair-shuttle-van-low/7589114188.html,13/02, 72315,vide, rwd, automatic, white
1987 Mercedes-Benz 560 SL,$39.900,https://boston.craigslist.org/gbs/ctd/d/chelsea-1987-mercedes-benz-560-sl/7589111153.html,13/02, 44517,vide, rwd, automatic, white
2021 BMW 8-Series Gran Coupe 840i,$66.900,https://boston.craigslist.org/gbs/ctd/d/chelsea-2021-bmw-series-gran-coupe-840i/7589111094.html,13/02, 11080,vide, rwd, automatic, white
Wheelchair Van Low Miles!,$14.995,https://boston.craigslist.org/sob/ctd/d/braintree-wheelchair-van-low-miles/7589099170.html,13/02, 79000,vide, rwd, automatic, silver
Ford E350 Wheelchair or Contractor Van,$17.995,https://boston.craigslist.org/sob/ctd/d/braintree-ford-e350-wheelchair-or/7589090565.html,13/02, 125000,vide, rwd, automatic, white
Toyota Prius 2005,$4.500,https://boston.craigslist.org/gbs/cto/d/cambridge-toyota-prius-2005/7589090151.html,13/02, 225000,vide, fwd, automatic, grey
2015 vw passat Wolfsburg edition,$11.350,https://boston.craigslist.org/gbs/cto/d/brighton-2015-vw-passat-wolfsburg/7589077166.html,13/02, 84739,vide, fwd, automatic, black
BMW 328i XDrive (AWD),$15.000,https://boston.craigslist.org/gbs/cto/d/east-boston-bmw-328i-xdrive-awd/7589065496.html,13/02, 47000,vide, 4wd, automatic, black
2013 Volkswagen Jetta 2.0 TDI Sport Wagon,$6.500,https://boston.craigslist.org/sob/cto/d/quincy-2013-volkswagen-jetta-20-tdi/7589062553.html,13/02, 143000,vide, fwd, automatic, silver
2003 Chevy Astro Van,$750,https://boston.craigslist.org/gbs/cto/d/allston-2003-chevy-astro-van/7589041404.html,13/02, 100000,vide, fwd, automatic, white
2006 Subaru Outback - AWD - Low Mileage - Great Opportunity,$3.500,https://boston.craigslist.org/gbs/cto/d/milton-2006-subaru-outback-awd-low/7589024397.html,13/02, 179000,vide, 4wd, automatic, blue
2013 Kia soul 86K,$8.900,https://boston.craigslist.org/nos/ctd/d/malden-2013-kia-soul-86k/7589024265.html,13/02, 86543,vide, fwd, automatic, black
2015 Ford F150 FX four,$23.900,https://boston.craigslist.org/nos/ctd/d/malden-2015-ford-f150-fx-four/7589024077.html,13/02, 132432,vide, 4wd, automatic, black
2015 Volkswagen Jetta,$6.450,https://boston.craigslist.org/nos/cto/d/winthrop-2015-volkswagen-jetta/7589017430.html,13/02, 170233,vide, fwd, automatic, white
2020 Chevrolet Trax LS - Cheap - Great Car - Must See!,$13.499,https://boston.craigslist.org/sob/cto/d/milton-2020-chevrolet-trax-ls-cheap/7589010856.html,13/02, 108900,vide, fwd, automatic, red
2007 Acura TL,$3.800,https://boston.craigslist.org/nos/cto/d/revere-2007-acura-tl/7589006360.html,13/02, 215000,vide,vide, automatic,vide
2002 Chevy Tahoe,$4.500,https://boston.craigslist.org/nos/cto/d/revere-2002-chevy-tahoe/7589000904.html,13/02, 220000,vide,vide, automatic,vide
2007 Saab 9-3 2.0T sedan auto 125k runs perfect,$2.500,https://boston.craigslist.org/gbs/cto/d/medford-2007-saab-sedan-auto-125k-runs/7588943709.html,13/02, 135000,vide, fwd, automatic,vide
2009 Audi A3 2.0 T S-tronic,$2.900,https://boston.craigslist.org/nos/cto/d/malden-2009-audi-a3-20-s-tronic/7588940010.html,13/02, 220000,vide, 4wd, automatic, red
FOR SALE!!! 2019 DODGE GR CARAVAN | REAR ENTRY WHEELCHAIR ACCESSIBLE,$32.613,https://boston.craigslist.org/gbs/ctd/d/boston-for-sale-2019-dodge-gr-caravan/7588936752.html,13/02, 23000,vide,vide, automatic,vide
Tow Truck Or Car Trailer Available,$100,https://boston.craigslist.org/gbs/ctd/d/waltham-tow-truck-or-car-trailer/7588919178.html,13/02, 999999,vide,vide, automatic,vide
2009 BMW 328ix Coupe  6 speed manual,$6.500,https://boston.craigslist.org/gbs/cto/d/boston-2009-bmw-328ix-coupe-speed-manual/7588909880.html,13/02, 157000,vide, 4wd, manual, black
2016 Freightliner Cascadia 125,$64.800,https://boston.craigslist.org/gbs/ctd/d/boston-2016-freightliner-cascadia-125/7588897839.html,13/02, 607199,vide,vide, automatic,vide
1991 Bentley eight,$25.000,https://boston.craigslist.org/gbs/cto/d/mattapan-1991-bentley-eight/7588886696.html,13/02, 98000,vide, rwd, automatic, grey
2003 subaru legacy all wheel drive,$3.100,https://boston.craigslist.org/gbs/cto/d/brighton-2003-subaru-legacy-all-wheel/7588859200.html,13/02, 125072,vide, 4wd, automatic, white
2006 TOYOYTA SIENNA LIMITED,$4.000,https://boston.craigslist.org/sob/cto/d/quincy-2006-toyoyta-sienna-limited/7588816046.html,12/02, 164000,vide, 4wd, automatic, white
2010 Honda Crosstour EXL,$10.900,https://boston.craigslist.org/gbs/cto/d/boston-2010-honda-crosstour-exl/7588797898.html,12/02, 69000,vide,vide, automatic,vide
2006 TOYOTA RAV4 LIMITED 4WD TWO OWNER ROOF RAV-4 LTD AWD ↑ GREAT DEAL,$7.600,https://boston.craigslist.org/gbs/ctd/d/west-newton-2006-toyota-rav4-limited/7588793242.html,12/02, 146333,vide, 4wd, automatic, green
2007 TOYOTA RAV4 LE 4WD AWD TWO OWNER RAV-4 4WD SUV BLACK ↑ GREAT DEAL,$8.200,https://boston.craigslist.org/gbs/ctd/d/west-newton-2007-toyota-rav4-le-4wd-awd/7588792799.html,12/02, 132077,vide, 4wd, automatic, black
NEW 2023 BMW X5 Xdrive40i White M Package 800 MLS,$74.900,https://boston.craigslist.org/gbs/cto/d/boston-new-2023-bmw-x5-xdrive40i-white/7588789006.html,12/02, 800,vide, 4wd, automatic, white
2011 Honda CRV,$11.999,https://boston.craigslist.org/gbs/cto/d/cambridge-2011-honda-crv/7588787529.html,12/02, 99185,vide, 4wd, automatic, brown
1974 Gran torino,$13.000,https://boston.craigslist.org/gbs/cto/d/arlington-1974-gran-torino/7588755659.html,12/02, 57000,vide, rwd, automatic, brown
2016 Ford F-150 F150 F 150 XLT 4x4 4dr SuperCab 6.5 ft. SB - Financing Available,$24.500,https://boston.craigslist.org/gbs/ctd/d/somerville-2016-ford-150-f150-150-xlt/7588739979.html,12/02, 112594,vide, 4wd, automatic, black
2011 F-150 Lariat,$19.000,https://boston.craigslist.org/bmw/cto/d/waltham-2011-150-lariat/7588732086.html,12/02, 78000,vide,vide, automatic,vide
2017 Toyota RAV4 Limited AWD 4dr SUV - Financing Available!,$20.900,https://boston.craigslist.org/gbs/ctd/d/somerville-2017-toyota-rav4-limited-awd/7588708888.html,12/02, 123012,vide, 4wd, automatic, silver
Toyota Tacoma TRD Sport 4x4,$22.500,https://boston.craigslist.org/sob/cto/d/quincy-toyota-tacoma-trd-sport-4x4/7588684318.html,12/02, 130000,vide, 4wd, automatic, brown
2002 Toyota Sequoia - Parts or Repairable!,$1.999,https://nh.craigslist.org/cto/d/malden-2002-toyota-sequoia-parts-or/7588669246.html,12/02, 260000,vide,vide, automatic,vide
2002 Toyota Sequoia - Parts or Repairable,$1.999,https://boston.craigslist.org/gbs/cto/d/malden-2002-toyota-sequoia-parts-or/7588667982.html,12/02, 260000,vide,vide, automatic,vide
